Canal,SubCanal,Grupo 1 ,Grupo 2,Afiliação,VL Receita Total,Receita Net MDR,Receita de antecipação de recebiveis,Outras Receitas,Custo de Net MDR,Custo de antecipação de recebiveis,Custo de Outras Receitas
DIGITAL,SubCanal 1,Grupo B,LARGE B,179499332,53,3,1,0,2,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,179499992,184,168,0,16,117,0,8
DIGITAL,SubCanal 1,Grupo B,FIELD B,179509478,75,75,0,0,52,0,0
DIGITAL,SubCanal 1,Grupo B,FIELD A,179618391,15796,15796,0,0,11058,0,0
DIGITAL,SubCanal 1,Grupo B,FIELD A,179650902,16595,943,15652,0,660,5478,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,179718727,2941,817,1838,137,572,643,68
DIGITAL,SubCanal 1,Grupo B,BASE,179725343,35,35,0,0,25,0,0
DIGITAL,SubCanal 1,Grupo B,INSIDE A,179836590,923,915,0,8,641,0,4
DIGITAL,SubCanal 1,Grupo C,LIDER HUNTER,179844035,855,855,0,0,598,0,0
DIGITAL,SubCanal 1,Grupo B,FIELD D,17AD1D0A-212D-43D1-A4B3-51AA5F9C8F87,812,0,0,812,0,0,406
DIGITAL,SubCanal 1,Grupo E,PARCERIAS,180055995,13,13,0,0,9,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,180121982,4,0,0,4,0,0,2
DIGITAL,SubCanal 1,Grupo B,LARGE B,180256978,53,0,4,0,0,1,0
DIGITAL,SubCanal 1,Grupo B,BASE,180430084,743,500,0,243,350,0,122
DIGITAL,SubCanal 1,Grupo B,LARGE B,180534712,59,10,0,0,7,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,180595507,233,34,133,0,24,47,0
DIGITAL,SubCanal 1,Grupo B,INSIDE A,180725467,2181,1837,0,344,1286,0,172
DIGITAL,SubCanal 1,Grupo B,LARGE B,180751083,159,45,65,0,32,23,0
DIGITAL,SubCanal 1,Grupo B,BASE,180812049,19,16,0,3,11,0,1
DIGITAL,SubCanal 1,Grupo B,BASE,180883822,18,18,0,0,13,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,180953740,475,475,0,0,332,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,181299070,71,29,0,42,21,0,21
DIGITAL,SubCanal 1,Grupo B,BASE,181306901,29,17,0,12,12,0,6
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,181363470,4,4,0,0,3,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,181413349,108,19,40,0,13,14,0
DIGITAL,SubCanal 1,Grupo B,BASE,181432710,20,20,0,0,14,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,181444690,600,600,0,0,420,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,181648657,204,184,0,0,129,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,181689290,492,492,0,0,345,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,181804110,15,11,0,4,8,0,2
